name,strasse_nr,plz,angebot,lieferung,beschreibung_lieferangebot,selbstabholung,angebot_selbstabholung,fon,w3,mail,art,montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag,lon,lat,unique_id
papaya am boxhagener,Krossener Straße 11,10245,thai cuisine,FALSCH,,WAHR,,+493029771231,https://www.papaya-service.de,togo-boxi@papaya-restaurants.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,4581899","52,5106795",13
papaya am winterfeldtplatz,Winterfeldtstraße 42,10781,thai cuisine,FALSCH,,WAHR,,+493061290012,https://www.papaya-service.de,togo-winterfeldt@papaya-restaurants.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,35405","52,49731",14
KiezEis,Winterfeldtstraße 46,10781,Speiseeis und Kaffee - casual fine ice cream,WAHR,Lieferungen rund um den Winterfeld Kiez. Und angrenzende Gebiete. Bestellungen und Bezahlung über PayPal mit bestellung@kiezeis.de.,WAHR,"Eis im 500ml Becher in allen Grundsorten (Schokolade, Kakao, Vanille, Milcheis, Erdbeer-Sahne, Mango Sorbet, Limetten Sorbet) und weitere Sorten auf Nachfrage. Kaffee",+493023186596,http://facebook.com/kiezeis,bestellung@kiezeis.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,"13,3533415","52,4971623",15
MAYAHUEL:tequilaverkostung und mehr,Jagowstraße 22,10555,Diverse Angebot,FALSCH,,FALSCH,,+491629892331,https://www.mayahuel.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,3344243","52,5238858",16
Trattoria á Muntagnola,Fuggerstraße 27,10777,"Typische Küche aus der Basilikata,Pizzas",WAHR,1 077 710 779,WAHR,,+49302116642,https://www.muntagnola.de,trattoria@muntagnola.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,344104","52,4987782",17
Restaurant Ännchen von Tharau,Rolandufer 6,10179,Deutsche Küche,WAHR,Berlin Mitte,WAHR,,+4930726202070,https://www.aevt.de,info@aevt.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,,,"13,4165711","52,5154771",18
Vetzgerei,Raumerstraße 36,10437,Vegane Hausmannskost,WAHR,In ganz Berlin,WAHR,Wir bieten warme Gerichte von 12 - 15.30 Uhr an,+493044673243,https://die-vetzgerei.myshopify.com,vurst@dievetzgerei.berlin,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,,"13,4210545","52,5420313",19
Restaurant einsunternull,Hannoversche Straße 1,10115,Berliner Proviant Box mit Wein,WAHR,Lieferungen werden per DHL an Sie versendet,FALSCH,,+493027577810,https://restaurant-einsunternull.de/produkt/berliner-proviant/,kontakt@einsunternull.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,3860102","52,5271289",20
PAPA NO - Prenzlauer Berg,Danzigerstraße 11,10435,"Sushi, asiatische Gerichte, vegane Gerichte",WAHR,Liefer bestelljngen bitte unter www.papa-no.de oder der PapaNo App,WAHR,Selbstabholer können das bestellte Essen in 15 min abholen,+491637590868,https://www.papa-no.de,info@papa-no.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,"13,4152081","52,5408857",21
STADTSALAT GmbH,Friedrichstraße 113,10117,Gesunde Salate und Bowls,WAHR,Wir liefern frische Salate & Bowls kontaktlosen umweltfreundlichen Verpackungen und ausschließlich mit dem Rad. Vegetarische & Vegane Optionen,WAHR,Bestellungen zum Abholen müssen über www.stadtsalat.de vorbestellt werden.,+493027890410,https://stadtsalat.de/hamburg,lecker@stadtsalat.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,12:30-20:30,12:30-20:30,"13,38769","52,52584",22
Havel Menü,Neues Ufer 13,10553,Deutsche Küche,WAHR,Wir beliefern Notkitas und Seniorenheime,FALSCH,,+493036759248,https://www.havel-menue.de,info@havel-menue.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,,,"13,3158539","52,5271484",23
Café Steckenpferd,Hauptstraße 35,13159,"außer Haus Verkauf von Kaffee, Kuchen, Wraps, Belegten Brötchen und Suppen",FALSCH,,WAHR,Wir haben von Freitag bis Sonntag für Sie geöffnet und dann können Sie gern alle angebotenen Sachen bei uns abholen!,+491723930063,https://www.steckenpferd-berlin.de,info@steckenpferd-berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,12:00-18:00,10:00-17:00,10:00-17:00,"13,3684147","52,5874577",24
FandBit,Gartenfelder Straße 28,13599,täglich neu inspiriert mit frischen Zutaten. Vorbestellung bis 13:00 Uhr den Vortag!!!,WAHR,Liefergebiete sind aktuell nur Berlin Spandau/Haselhorst,WAHR,Nur mit Vorbestellung!!! bis 13:00 Uhr am Vortag bestellen und den nächsten Tag geniessen.,+491749593599,https://www.fandbit.com,info@fandbit.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,,,"13,2422761","52,5521552",25
Goldgrün,Alt-Müggelheim 1a,12559,"Pasta, Mittagstisch, Suppen, Wein...",WAHR,Lieferung in Müggelheim,WAHR,Derzeitige Öffnungszeiten :Mo-Sa 12:00Uhr-18:00Uhr,+491796738541,https://goldgruen.berlin,mail@goldgruen.berlin,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,"13,6594633","52,4126146",26
Kakadu,Soldiner Straße 13,13359,"Quesadillas mit verschiedenen Füllungen, Hummus mit leckeren Beilagen, Toasties, hausgemachte Kuchen, Cookies und kreatives Frühstück",WAHR,Wedding und Umgebung nach Absprache,WAHR,,+491795310073,https://kakadu.berlin-basement.de,kakaduberlin@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,10:00-21:00,10:00-21:00,"13,39026","52,55786",27
Einhorn Deli,Mommsenstraße 2,10629,"Abwechslungsreicher Mittagstisch mit frischen Salaten, Pasta, Bowls u.a.",FALSCH,,WAHR,Die Speisen können täglich ab 10 Uhr vorbestellt werden.,+49308814241,https://www.einhorndeli.de,info@einhorn-catering.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,,,"13,3209702","52,5030304",28
Pizza Max,Margaretenstraße4,10317,Piazza/Burger/Pasta,WAHR,Lichtenberg/Friedrichsfelde,WAHR,leer,+493052696060,https://www.pizzamax.de/,Pizzamax@t-online.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"13,49729","52,50773",29
grünstern - Biologisches Catering aus Berlin,Alt Friedrichsfelde 7b,10315,"Internationale Küche, Regionale & deutsche Küche",WAHR,Lichtenberg und angrenzende Bezirke,FALSCH,,+4915750454794,https://www.gruenstern.berlin,kontakt@gurenstern.berlin,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,,,"13,5066052","52,5103788",30
Cafeteria Amalie,Fasanenstraße 1 B,10623,wechselnde Tagesgerichte,WAHR,Lieferungen im Umkreis von 5 km nach Absprache,WAHR,"Bestellungen bis 10.30 Uhr, Abholung zwischen 12 und 15 Uhr",+4917662164712,https://www.josephs-udk.de,josephs.udk@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,,,"13,32845","52,50908",31
Gloria Kreuzberg,Gertrud Kolmar Straße 4,10997,"Argentinische Küche, Empanadas, Teigtaschen",FALSCH,,WAHR,Bitte die Bestellungen telefonisch oder per WhatsApp vereinbaren,+4917660806071,https://www.gloriaberlin.de,info@gloriaberlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,,,"13,4417678","52,4963143",32
Gloria Prenzlauer Berg,Danziger Straße 17,10435,"Argentinische Küche, Empanadas, Teigtaschen",FALSCH,,WAHR,Bitte die Bestellungen telefonisch oder per WhatsApp vereinbaren,+4917660806071,https://www.gloriaberlin.de,info@gloriaberlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,,,"13,4156938","52,5407312",33
Partyservice Dilg,Niederneuendorfer Allee 1,13587,Deutsche Küche,WAHR,Unsere aktuellen Liefergebiete werden auf unserer Webseite veröffentlicht.,WAHR,,+49303356058,https://dilgs-partservice.de,info@dilgs-partyservice.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,20974","52,5656",34
Dolores Mitte,Rosa-Luxemburgstraße 7,10178,"Burritos,Quesadillas,Tacos,Salads",FALSCH,,WAHR,,+493028099597,https://dolores-berlin.de,info@dolores-berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,13:00-21:00,"13,4091964","52,5237938",35
essen--fassen,Rheinsberger Straße 1,10115,"belegte Brötchen, Salate, Obst",FALSCH,,FALSCH,,+491734797784,https://www.essen--fassen.de,FFi123@gmx.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,3948176","52,5363611",36
Simitdchi Café & Backhaus,Adalbertstraße 97,10999,"Simit, türkische Backwaren, Kaffee & türk. Tee",FALSCH,,WAHR,,+491785107999,,simitdchi@hotmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,41783","52,49998",37
Dolores West,Bayreuther Straße 36,10789,"Burritos,Quesadillas,Tacos,Salads",FALSCH,,WAHR,,+493054821590,https://dolores-berlin.de,info@dolores-berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,13:00-21:00,"13,3439179","52,5011524",38
auszeit,Hermann-Hesse-Straße 15,13156,Hausgemachte Burger und Hausgemachte Pasta,WAHR,"Liebe Gäste, es muss weiter gehen, irgendwas geht immer und wir wollen für Euch da sein und unsere Mitarbeiter weiter beschäftigen. Besondere Situationen erfordern besondere Maßnahmen, und damit wir mit unserem Team zusammen aus dieser Krise kommen, bieten wir ab sofort einen Abhol- und Lieferservice an. Für die Bestellung aus unserer Lieferkarte, meldet Euch bitte telefonisch unter 030 – 55495570. Auf die Abholung gewähren wir einen Rabatt von 15 % Abholung und Lieferung täglich von 12 – 21 Uhr ab einem Bestellwert von 15,00 EUR liefern wir im Bereich PLZ 13156, 13158, 13127, 13187 und 13189. Wir liefern ausschliesslich kontaktlos. Bezahlung bitte in Bar. Gerne bringen wir das passende Wechselgeld mit. Wir freuen uns auf euren Anruf und bedanken uns für eure Unterstützung!",WAHR,Täglich von 12-21 Uhr,+493070711000,https://www.auszeitberlin.de,info@auszeitberlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,4010095","52,5802437",39
Spreemittag,Wilhelmine-Genberg-Weg 14,10179,Mittagstisch mit polnischen und österreichischen Wurzeln,FALSCH,,WAHR,"Wir betreiben seit einigen Jahren unsere Catering Küche am Spreefeld. Mit unseren polnischen und österreichischen Wurzeln sind für uns Freude und Leidenschaft die wichtigen Zutaten unserer Küche. Während dieser angespannten Zeit möchten wir euch, liebe Nachbarschaft, bekochen. Von Montag bis Freitag Zwischen 13 & 14 Uhr Abholen könnt ihr euer Essen bei einem schönen Spaziergang zu uns ans Spreeufer.",+4917662868516,http://blen.de/,Mail@spreemittag.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",13:00-14:00,13:00-14:00,13:00-14:00,13:00-14:00,13:00-14:00,,,"13,4253288","52,5103726",40
SushiForYou,Heinrich-Heine-Straße 29,10179,Japanische küche,WAHR,Kreuzberg mitte neukölln,WAHR,,+4917662860653,https://www.sushi-for-you.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,12:00-22:00,12:00-22:00,"13,4137248","52,5067624",41
The Hummus Guys,Hohenstaufenstraße 39,10779,"Hummus, Salate, Sandwiches, Suppen und mehr",FALSCH,,WAHR,Bestellungen zum Abholen sollten uns 30 Minuten vorher erreichen.,+4915128910181,https://www.thehummusguys.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,,,"13,3376208","52,4941899",42
Herr von Marusin,Alt-Buch 59,13125,"Kuchen, Tartes und Quiches",WAHR,"Um die köstlichen Kuchen von HERR VON MARUSIN zu genießen, können Sie diese nun ganz bequem online bestellen und innerhalb Berlins liefern lassen - für die kleine Verwöhnmomente zuhause! Wir bieten Ihnen ein breites Sortiment feiner Kuchenträume als ganzen Kuchen oder Kuchenviertel, die Ihnen der HERR VON MARUSIN Kuchenbringer bei Bestelleingang bis 18 Uhr bereits am Folgetag überreichen kann. Bei HERR VON MARUSIN zahlen Sie keinerlei Liefergebühren und der Mindesbestellwert liegt bei nur 25 EUR! Unsere Kuchenträume werden mit unserem eigenen Kühlfahrzeug ausschließlich durch unseren Kuchenbringer ausgeliefert - auf Wunsch natürlich auch kontaktlos! Je nachdem, in welchem Postleitzahlenbezirk von Berlin Sie wohnen, klingelt der Kuchenbringer bei Ihnen während seiner Vormittagstour zwischen 10 und 14 Uhr oder am Nachmittag zwischen von 14 bis 18 Uhr.",FALSCH,,+493081476025,https://www.herrvonmarusin.de/,kuchen@herrvonmarusin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,502899","52,6366096",43
John Catering,Eichborndamm 111,13403,"Bunte culinarische Auswahl, auch vegetarisch und vegan, Osterangebot !!!!",WAHR,Berlin,FALSCH,,+491705257246,https://john-catering.de,info@john-catering.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,316252","52,5792251",44
SushiForYou,Marienfelderallee 24a,12277,Japanische Küche,WAHR,,WAHR,,+4917662860653,https://www.sushi-for-you.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,12:00-22:00,12:00-22:00,"13,3710406","52,4231457",45
Fadice,Havelstraße 2,13597,"Kumpir, Toasty,Hot Dogs,Wraps,u.v.m.",WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht.,WAHR,,+493041769345,https://www.fadice.com,fadice@web.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,"13,2064304","52,5385775",46
catering Aleppo Al Shahba,Dahrendorfzeile 12,13627,"Pizza, Kubba, Arabisch Essen",WAHR,,WAHR,,+4915774594558,https://catering.aleppo.de,Catering.aleppo@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,"13,29168","52,53557",47
Ristorante sole d’oro,Johannisthaler Chaussee 398,12351,Pizza pasta salate,WAHR,,WAHR,,+49306046898,https://www.soledoro.de,kegeln@soledoro.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,"13,44365","52,42606",48
EisQueen,Schichauweg 52,12307,"Eis in 150ml oder 500ml, Eistorten, Eispralinen",WAHR,Lieferung im Süden Berlins,WAHR,"Mo.-Fr. 8-18Uhr, Sa. Und So. bei Sonnenschein",+493081476040,https://www.eisqueen.de,info@eisqueen.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,,"13,3767088","52,3967773",49
RefuEat Catering GmbH,Bautzenerstraße 40,10829,Arabische Küche,WAHR,"Sie können bei uns ab sofort online über unsere Website bestellen. Wir bieten leckere syrische Küche an, welche von Refugees produziert wird. Wir freuen uns auf Sie!",WAHR,Von 12:00 - 22:00 Uhr stehen wir Ihnen gerne zur Verfügung.,+4917624124366,https://www.refueat.de,info@refueat.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,"13,3708622","52,4913973",50
Leckerschmecker Catering,Staakener Straße 53-63,13581,"Breakfast Boxen, Lunchboxen, Snackboxen, Food Catering, Vorspeisen, Hauptgänge, Desserts, Suppen, Salate, Snacks",WAHR,Wir Beliefern unsere Kunden in Berlin und Potsdam,WAHR,Das gesamte Angebot aus unserem Foodlineshop kann auch an unserer Firmenadresse abgeholt werden.,+493036436471,https://www.leckerschmecker-catering.de/,info@leckerschmecker-catering.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,,"13,1664","52,53692",51
Subway KuDamm,Kurfürstendamm 180,10707,Sandwiches und Salate,WAHR,Über Lieferando,WAHR,Von 12-18:00 können Sie direkt im Store bestellen und gleich mitnehmen,+493025291100,,info@subway-kudamm.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,3119169","52,5001908",52
Café-Bar-Bistro Charlotte,Charlottenstraße 14a,13597,"Burger, Pasta, Vegetarisch, Cocktails",WAHR,Wir liefern im Umkreis von 5 km,WAHR,Selbstabholer bekommen ein Rabatt in Höhe von 20%,+49303331000,https://www.cbb-charlotte.de,cbb.charlotte.spandau@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,12:00-22:00,12:00-22:00,"13,2021908","52,5372914",53
Restaurant*Bar MeilenStein,Am Juliusturm 104,13597,internationale und deutsche Küche,WAHR,Lieferungen im Umkreis von ca. 5 km,WAHR,Aktuelle Kernzeiten 11:00 Uhr - 14:00 Uhr und 17:00 Uhr bis 20:00 Uhr und nach vorheriger telefonischer Absprache. Wir sind immer da und immer erreichbar für Sie! Danke für Ihre Treue und Unterstützung??,+493034623060,https://www.meilenstein-spandau.de,info@meilenstein-spandau.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,"13,2060912","52,5396943",54
Tempel der Gesundheit,Finkenkruger Weg 69C,13591,"Obst, Gemüse und Eier Marktfrisch",FALSCH,,FALSCH,,+4915734359364,https://www.facebook.com/Cashimatempel,webmaster@cashima.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,"13,1412825","52,545743",55
LuisaKocht,Danzigerstraße 49,10435,"italienische Küche, selbst gemachte Pasta, selbst gemachter Pizzateig",WAHR,"Lieferung von italienischen Produkten und Speisen in Prenzlauerberg und Mitte ab 25,00 Euro kostenlos.",WAHR,Bestellungen zum Abholen sollten am besten einen Tag davor per Mail bestellet werden.,+4917662538130,https://luisakocht.de,hello@luisakocht.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-18:00,,"13,4204007","52,5400743",56
Casino Goerzwerk c/o farkas CATERING GmbH,Goerzallee 299,14167,"Lunch, Tagesgericht",FALSCH,,WAHR,Wir bieten täglich zwei frisch gekochte Gerichte zwischen 5.5€ und 6.0€ an. Geöffnet von Montag bis Freitag täglich 11:30 Uhr bis 14:00 Uhr. Wir können auch liefern! Bitte sprechen Sie uns an. Ihr farkas CATERING Team.,+4917655571942,https://www.farkas-catering.de,info@farkas-catering.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00,,,"13,2775827","52,4123948",57
